geo_level, geo_code, geo_version, month, statistic, total
country,ZA,2016,Total hectare traded,Dec2017,168 354
country,ZA,2016,Total cost (R million),Dec2017,2 881
country,ZA,2016,Price per hectare,Dec2017,17 113
country,ZA,2016,Total hectare traded,Jan2018,105 722
country,ZA,2016,Total cost (R million),Jan2018,1 329
country,ZA,2016,Price per hectare,Jan2018,12 574
country,ZA,2016,Total hectare traded,Feb2018,196 739
country,ZA,2016,Total cost (R million),Feb2018,2 392
country,ZA,2016,Price per hectare,Feb2018,12 161
country,ZA,2016,Total hectare traded,Mar2018,236 409
country,ZA,2016,Total cost (R million),Mar2018,2 467
country,ZA,2016,Price per hectare,Mar2018,10 434
country,ZA,2016,Total hectare traded,Apr2018,134 930
country,ZA,2016,Total cost (R million),Apr2018,1 852
country,ZA,2016,Price per hectare,Apr2018,13 726
country,ZA,2016,Total hectare traded,May2018,181 898
country,ZA,2016,Total cost (R million),May2018,3 112
country,ZA,2016,Price per hectare,May2018,17 110
country,ZA,2016,Total hectare traded,Jun2018,195 385
country,ZA,2016,Total cost (R million),Jun2018,3 472
country,ZA,2016,Price per hectare,Jun2018,17 768
country,ZA,2016,Total hectare traded,Jul2018,110 583
country,ZA,2016,Total cost (R million),Jul2018,1 382
country,ZA,2016,Price per hectare,Jul2018,12 501
country,ZA,2016,Total hectare traded,Aug2018,181 055
country,ZA,2016,Total cost (R million),Aug2018,2 002
country,ZA,2016,Price per hectare,Aug2018,11 055
country,ZA,2016,Total hectare traded,Sep2018,147 728
country,ZA,2016,Total cost (R million),Sep2018,1 618
country,ZA,2016,Price per hectare,Sep2018,10 954
country,ZA,2016,Total hectare traded,Oct2018,248 209
country,ZA,2016,Total cost (R million),Oct2018,3 987
country,ZA,2016,Price per hectare,Oct2018,16 065
country,ZA,2016,Total hectare traded,Nov2018,145 503
country,ZA,2016,Total cost (R million),Nov2018,1 931
country,ZA,2016,Price per hectare,Nov2018,13 269
country,ZA,2016,Total hectare traded,Total,2 052 515
country,ZA,2016,Total cost (R million),Total,28 426
country,ZA,2016,Price per hectare,Total,13 849
province,EC,2016,Total hectare traded,Dec2017,13 182
province,EC,2016,Total cost (R million),Dec2017,182
province,EC,2016,Price per hectare,Dec2017,13 812
province,EC,2016,Total hectare traded,Jan2018,11 964
province,EC,2016,Total cost (R million),Jan2018,162
province,EC,2016,Price per hectare,Jan2018,13 501
province,EC,2016,Total hectare traded,Feb2018,11 612
