,geography,corruption_government_officials,total
0,Central Uganda,All of them,110
1,Central Uganda,Don't know/ Haven't heard enough,85
2,Central Uganda,Most of them,216
3,Central Uganda,None,18
4,Central Uganda,Some of them,235
5,Eastern Uganda,All of them,112
6,Eastern Uganda,Don't know/ Haven't heard enough,45
8,Eastern Uganda,Most of them,222
9,Eastern Uganda,None,22
10,Eastern Uganda,Some of them,222
11,Northern Uganda,All of them,69
12,Northern Uganda,Don't know/ Haven't heard enough,50
13,Northern Uganda,Most of them,170
14,Northern Uganda,None,27
15,Northern Uganda,Some of them,188
16,Western Uganda,All of them,26
17,Western Uganda,Don't know/ Haven't heard enough,40
19,Western Uganda,Most of them,187
20,Western Uganda,None,50
21,Western Uganda,Some of them,304
22,Uganda,None,117
24,Uganda,Don't know/ Haven't heard enough,220
25,Uganda,Some of them,949
26,Uganda,All of them,317
27,Uganda,Most of them,795
