,geography,corruption_local_government_councilors,total
0,Central Uganda,All of them,82
1,Central Uganda,Don't know/ Haven't heard enough,77
2,Central Uganda,Most of them,166
3,Central Uganda,None,44
4,Central Uganda,Some of them,295
5,Eastern Uganda,All of them,131
6,Eastern Uganda,Don't know/ Haven't heard enough,38
7,Eastern Uganda,Most of them,191
8,Eastern Uganda,None,37
9,Eastern Uganda,Some of them,227
10,Northern Uganda,All of them,46
11,Northern Uganda,Don't know/ Haven't heard enough,40
12,Northern Uganda,Most of them,126
13,Northern Uganda,None,53
14,Northern Uganda,Some of them,239
15,Western Uganda,All of them,25
16,Western Uganda,Don't know/ Haven't heard enough,35
18,Western Uganda,Most of them,141
19,Western Uganda,None,86
20,Western Uganda,Some of them,320
21,Uganda,None,220
23,Uganda,Don't know/ Haven't heard enough,190
24,Uganda,Some of them,1081
25,Uganda,All of them,284
26,Uganda,Most of them,624
