,geography,corruption_members_of_parliament,total
0,Central Uganda,All of them,74
1,Central Uganda,Don't know/ Haven't heard enough,83
2,Central Uganda,Most of them,184
3,Central Uganda,None,30
4,Central Uganda,Some of them,293
5,Eastern Uganda,All of them,90
6,Eastern Uganda,Don't know/ Haven't heard enough,54
7,Eastern Uganda,Most of them,216
8,Eastern Uganda,None,33
9,Eastern Uganda,Some of them,231
10,Northern Uganda,All of them,52
11,Northern Uganda,Don't know/ Haven't heard enough,38
12,Northern Uganda,Most of them,128
13,Northern Uganda,None,61
14,Northern Uganda,Some of them,225
15,Western Uganda,All of them,24
16,Western Uganda,Don't know/ Haven't heard enough,52
18,Western Uganda,Most of them,101
19,Western Uganda,None,89
20,Western Uganda,Some of them,341
21,Uganda,None,213
23,Uganda,Don't know/ Haven't heard enough,227
24,Uganda,Some of them,1090
25,Uganda,All of them,240
26,Uganda,Most of them,629
