,geography,corruption_tax_officials,total
0,Central Uganda,All of them,184
1,Central Uganda,Don't know/ Haven't heard enough,108
2,Central Uganda,Most of them,179
3,Central Uganda,None,26
4,Central Uganda,Some of them,167
5,Eastern Uganda,All of them,129
6,Eastern Uganda,Don't know/ Haven't heard enough,65
7,Eastern Uganda,Most of them,188
8,Eastern Uganda,None,50
9,Eastern Uganda,Some of them,192
10,Northern Uganda,All of them,115
11,Northern Uganda,Don't know/ Haven't heard enough,57
12,Northern Uganda,Most of them,165
13,Northern Uganda,None,27
14,Northern Uganda,Some of them,140
15,Western Uganda,All of them,35
16,Western Uganda,Don't know/ Haven't heard enough,111
18,Western Uganda,Most of them,137
19,Western Uganda,None,88
20,Western Uganda,Some of them,236
21,Uganda,None,191
23,Uganda,Don't know/ Haven't heard enough,341
24,Uganda,Some of them,735
25,Uganda,All of them,463
26,Uganda,Most of them,669
