,geography,difficulty_to_obtain_household_services,total
0,Central Uganda,Difficult,25
1,Central Uganda,Easy,34
2,Central Uganda,No contact,587
3,Central Uganda,Very Difficult,13
4,Central Uganda,Very Easy,5
5,Eastern Uganda,Difficult,48
6,Eastern Uganda,Don't Know,2
7,Eastern Uganda,Easy,72
8,Eastern Uganda,No contact,460
9,Eastern Uganda,Very Difficult,21
10,Eastern Uganda,Very Easy,21
11,Northern Uganda,Difficult,30
12,Northern Uganda,Don't Know,1
13,Northern Uganda,Easy,40
14,Northern Uganda,No contact,393
15,Northern Uganda,Very Difficult,30
16,Northern Uganda,Very Easy,10
17,Western Uganda,Difficult,49
18,Western Uganda,Easy,55
19,Western Uganda,No contact,417
20,Western Uganda,Very Difficult,48
21,Western Uganda,Very Easy,39
22,Uganda,Very Easy,75
23,Uganda,No contact,1857
24,Uganda,Easy,201
25,Uganda,Very Difficult,112
26,Uganda,Don't Know,3
27,Uganda,Difficult,152
