,geography,difficulty_to_obtain_identity_document,total
0,Central Uganda,Difficult,88
1,Central Uganda,Easy,187
2,Central Uganda,No contact,238
3,Central Uganda,Very Difficult,49
4,Central Uganda,Very Easy,102
5,Eastern Uganda,Difficult,59
6,Eastern Uganda,Don't Know,1
7,Eastern Uganda,Easy,127
8,Eastern Uganda,No contact,354
9,Eastern Uganda,Very Difficult,20
10,Eastern Uganda,Very Easy,63
11,Northern Uganda,Difficult,88
12,Northern Uganda,Don't Know,2
13,Northern Uganda,Easy,140
14,Northern Uganda,No contact,218
15,Northern Uganda,Very Difficult,16
16,Northern Uganda,Very Easy,40
17,Western Uganda,Difficult,98
18,Western Uganda,Easy,166
19,Western Uganda,No contact,137
20,Western Uganda,Very Difficult,51
21,Western Uganda,Very Easy,156
22,Uganda,Very Easy,361
23,Uganda,No contact,947
24,Uganda,Easy,620
25,Uganda,Very Difficult,136
26,Uganda,Don't Know,3
27,Uganda,Difficult,333
