,geography,elections_enable_voters_to_remove_leaders_from_office,total
0,Central Uganda,Don't know,74
1,Central Uganda,Not at all well,88
2,Central Uganda,Not very well,166
3,Central Uganda,Very well,86
4,Central Uganda,Well,250
5,Eastern Uganda,Don't know,56
6,Eastern Uganda,Not at all well,151
7,Eastern Uganda,Not very well,200
8,Eastern Uganda,Very well,96
9,Eastern Uganda,Well,121
10,Northern Uganda,Don't know,37
11,Northern Uganda,Not at all well,103
12,Northern Uganda,Not very well,140
13,Northern Uganda,Very well,98
14,Northern Uganda,Well,126
15,Western Uganda,Don't know,35
16,Western Uganda,Not at all well,129
17,Western Uganda,Not very well,161
18,Western Uganda,Very well,150
19,Western Uganda,Well,133
20,Uganda,Not very well,667
21,Uganda,Well,630
22,Uganda,Don't know,202
23,Uganda,Not at all well,471
24,Uganda,Very well,430
