,geography,elections_ensure_voters_views_are_reflected,total
0,Central Uganda,Don't know,68
1,Central Uganda,Not at all well,52
2,Central Uganda,Not very well,205
3,Central Uganda,Very well,67
4,Central Uganda,Well,272
5,Eastern Uganda,Don't know,42
6,Eastern Uganda,Not at all well,96
7,Eastern Uganda,Not very well,186
8,Eastern Uganda,Very well,91
9,Eastern Uganda,Well,209
10,Northern Uganda,Don't know,26
11,Northern Uganda,Not at all well,62
12,Northern Uganda,Not very well,185
13,Northern Uganda,Very well,89
14,Northern Uganda,Well,142
15,Western Uganda,Don't know,34
16,Western Uganda,Not at all well,80
17,Western Uganda,Not very well,206
18,Western Uganda,Very well,111
19,Western Uganda,Well,177
20,Uganda,Not very well,782
21,Uganda,Well,800
22,Uganda,Don't know,170
23,Uganda,Not at all well,290
24,Uganda,Very well,358
