,geography,level_of_corruption,total
0,Central Uganda,Decreased a lot,4
1,Central Uganda,Decreased somewhat,64
2,Central Uganda,Don't know,34
3,Central Uganda,Increased a lot,409
4,Central Uganda,Increased somewhat,107
5,Central Uganda,Stayed the same,46
6,Eastern Uganda,Decreased a lot,9
7,Eastern Uganda,Decreased somewhat,62
8,Eastern Uganda,Don't know,42
9,Eastern Uganda,Increased a lot,344
10,Eastern Uganda,Increased somewhat,105
11,Eastern Uganda,Stayed the same,62
12,Northern Uganda,Decreased a lot,16
13,Northern Uganda,Decreased somewhat,109
14,Northern Uganda,Don't know,20
15,Northern Uganda,Increased a lot,252
16,Northern Uganda,Increased somewhat,72
17,Northern Uganda,Stayed the same,35
18,Western Uganda,Decreased a lot,11
19,Western Uganda,Decreased somewhat,113
20,Western Uganda,Don't know,39
21,Western Uganda,Increased a lot,222
22,Western Uganda,Increased somewhat,138
23,Western Uganda,Stayed the same,85
24,Uganda,Increased somewhat,422
25,Uganda,Decreased a lot,40
26,Uganda,Increased a lot,1227
27,Uganda,Stayed the same,228
28,Uganda,Decreased somewhat,348
29,Uganda,Don't know,135
