,geography,occupation_of_respondent,total
0,Central Uganda,Agriculture / farming / fishing / forestry,237
1,Central Uganda,Artisan or skilled manual worker,37
2,Central Uganda,Clerical or secretarial,5
3,Central Uganda,Don't know,1
4,Central Uganda,Housewife / homemaker,42
5,Central Uganda,Mid-level professional,32
6,Central Uganda,Never had a job,63
7,Central Uganda,Other,22
8,Central Uganda,Retail / Shop,51
9,Central Uganda,Security services,12
10,Central Uganda,Student,45
11,Central Uganda,Supervisor / Foreman / Senior Manager,7
12,Central Uganda,Trader / hawker / vendor,49
13,Central Uganda,Unskilled manual worker,53
14,Central Uganda,Upper-level professional,8
15,Eastern Uganda,Agriculture / farming / fishing / forestry,260
16,Eastern Uganda,Artisan or skilled manual worker,16
17,Eastern Uganda,Clerical or secretarial,1
18,Eastern Uganda,Don't know,1
19,Eastern Uganda,Housewife / homemaker,69
20,Eastern Uganda,Mid-level professional,30
22,Eastern Uganda,Never had a job,127
23,Eastern Uganda,Other,9
24,Eastern Uganda,Retail / Shop,17
25,Eastern Uganda,Security services,5
26,Eastern Uganda,Student,42
27,Eastern Uganda,Supervisor / Foreman / Senior Manager,3
28,Eastern Uganda,Trader / hawker / vendor,24
29,Eastern Uganda,Unskilled manual worker,18
30,Eastern Uganda,Upper-level professional,1
31,Northern Uganda,Agriculture / farming / fishing / forestry,269
32,Northern Uganda,Artisan or skilled manual worker,12
33,Northern Uganda,Don't know,1
34,Northern Uganda,Housewife / homemaker,67
35,Northern Uganda,Mid-level professional,14
36,Northern Uganda,Never had a job,57
37,Northern Uganda,Other,9
38,Northern Uganda,Retail / Shop,3
39,Northern Uganda,Security services,3
40,Northern Uganda,Student,38
41,Northern Uganda,Supervisor / Foreman / Senior Manager,1
42,Northern Uganda,Trader / hawker / vendor,19
43,Northern Uganda,Unskilled manual worker,11
44,Western Uganda,Agriculture / farming / fishing / forestry,342
45,Western Uganda,Artisan or skilled manual worker,13
46,Western Uganda,Clerical or secretarial,1
47,Western Uganda,Don't know,2
48,Western Uganda,Housewife / homemaker,22
49,Western Uganda,Mid-level professional,23
50,Western Uganda,Never had a job,38
51,Western Uganda,Other,13
52,Western Uganda,Retail / Shop,33
53,Western Uganda,Security services,4
54,Western Uganda,Student,23
55,Western Uganda,Supervisor / Foreman / Senior Manager,1
56,Western Uganda,Trader / hawker / vendor,43
57,Western Uganda,Unskilled manual worker,47
58,Western Uganda,Upper-level professional,3
59,Uganda,Agriculture / farming / fishing / forestry,1108
60,Uganda,Student,148
62,Uganda,Unskilled manual worker,129
63,Uganda,Artisan or skilled manual worker,78
64,Uganda,Trader / hawker / vendor,135
65,Uganda,Clerical or secretarial,7
66,Uganda,Never had a job,285
67,Uganda,Housewife / homemaker,200
68,Uganda,Other,53
69,Uganda,Supervisor / Foreman / Senior Manager,12
70,Uganda,Mid-level professional,99
71,Uganda,Upper-level professional,12
72,Uganda,Security services,24
73,Uganda,Don't know,5
74,Uganda,Retail / Shop,104
