,geography,pay_bribe_for_document_or_permit,total
0,Central Uganda,A Few times,6
1,Central Uganda,Never,364
2,Central Uganda,No contact,238
3,Central Uganda,Often,4
4,Central Uganda,Once or Twice,52
5,Eastern Uganda,A Few times,10
6,Eastern Uganda,Don't know,2
7,Eastern Uganda,Never,213
8,Eastern Uganda,No contact,354
9,Eastern Uganda,Often,3
10,Eastern Uganda,Once or Twice,42
11,Northern Uganda,A Few times,8
12,Northern Uganda,Don't know,1
13,Northern Uganda,Never,264
14,Northern Uganda,No contact,218
15,Northern Uganda,Often,2
16,Northern Uganda,Once or Twice,11
17,Western Uganda,A Few times,11
18,Western Uganda,Never,410
19,Western Uganda,No contact,137
20,Western Uganda,Often,3
21,Western Uganda,Once or Twice,47
22,Uganda,Often,12
23,Uganda,Never,1251
24,Uganda,A Few times,35
25,Uganda,Once or Twice,152
26,Uganda,No contact,947
27,Uganda,Don't know,3
