,geography,pay_bribe_for_household_services,total
0,Central Uganda,A Few times,3
1,Central Uganda,Never,58
2,Central Uganda,No contact,587
3,Central Uganda,Often,2
4,Central Uganda,Once or Twice,14
5,Eastern Uganda,A Few times,11
6,Eastern Uganda,Don't know,3
7,Eastern Uganda,Never,122
8,Eastern Uganda,No contact,460
9,Eastern Uganda,Often,3
10,Eastern Uganda,Once or Twice,25
11,Northern Uganda,A Few times,7
12,Northern Uganda,Don't know,2
13,Northern Uganda,Never,88
14,Northern Uganda,No contact,393
15,Northern Uganda,Often,4
16,Northern Uganda,Once or Twice,10
17,Western Uganda,A Few times,7
18,Western Uganda,Never,167
19,Western Uganda,No contact,417
20,Western Uganda,Often,3
21,Western Uganda,Once or Twice,14
22,Uganda,Often,12
23,Uganda,Never,435
24,Uganda,A Few times,28
25,Uganda,Once or Twice,63
26,Uganda,No contact,1857
27,Uganda,Don't know,5
