,geography,pay_bribe_for_school_services,total
0,Central Uganda,A Few times,9
1,Central Uganda,Don't know,1
2,Central Uganda,Never,232
3,Central Uganda,No contact,374
4,Central Uganda,Often,9
5,Central Uganda,Once or Twice,39
6,Eastern Uganda,A Few times,43
7,Eastern Uganda,Don't know,3
8,Eastern Uganda,Never,212
9,Eastern Uganda,No contact,299
10,Eastern Uganda,Often,18
11,Eastern Uganda,Once or Twice,49
12,Northern Uganda,A Few times,16
13,Northern Uganda,Never,257
14,Northern Uganda,No contact,212
15,Northern Uganda,Often,6
16,Northern Uganda,Once or Twice,13
17,Western Uganda,A Few times,11
18,Western Uganda,Don't know,1
19,Western Uganda,Never,298
20,Western Uganda,No contact,269
21,Western Uganda,Often,2
22,Western Uganda,Once or Twice,27
23,Uganda,Often,35
24,Uganda,Never,999
25,Uganda,A Few times,79
26,Uganda,Once or Twice,128
27,Uganda,No contact,1154
28,Uganda,Don't know,5
