,geography,vote_for_which_party,total
0,Central Uganda,Democratic Party (DP),55
1,Central Uganda,Don't know,66
2,Central Uganda,Forum for Democratic Change (FDC),77
3,Central Uganda,Inter party Coalition (IPC),2
4,Central Uganda,National Resistance Movement (NRM),326
5,Central Uganda,Refused to answer,74
6,Central Uganda,The Justice Forum (JEEMA),2
7,Central Uganda,Uganda Federal Alliance (UFA),1
8,Central Uganda,Uganda Peoples Congress (UPC),6
9,Central Uganda,Would not vote,55
10,Eastern Uganda,Democratic Party (DP),7
11,Eastern Uganda,Don't know,51
12,Eastern Uganda,Forum for Democratic Change (FDC),60
13,Eastern Uganda,Inter party Coalition (IPC),1
14,Eastern Uganda,National Resistance Movement (NRM),433
15,Eastern Uganda,Other,4
16,Eastern Uganda,Refused to answer,34
17,Eastern Uganda,Social Democratic Party (SDP),1
18,Eastern Uganda,Uganda Peoples Congress (UPC),12
19,Eastern Uganda,Would not vote,21
20,Northern Uganda,Don't know,36
21,Northern Uganda,Forum for Democratic Change (FDC),23
22,Northern Uganda,National Resistance Movement (NRM),360
23,Northern Uganda,Other,3
24,Northern Uganda,Refused to answer,56
25,Northern Uganda,Uganda Peoples Congress (UPC),20
26,Northern Uganda,Would not vote,6
27,Western Uganda,Democratic Party (DP),3
28,Western Uganda,Don't know,16
29,Western Uganda,Forum for Democratic Change (FDC),53
30,Western Uganda,National Resistance Movement (NRM),466
31,Western Uganda,Other,15
32,Western Uganda,Refused to answer,49
33,Western Uganda,Uganda Peoples Congress (UPC),3
34,Western Uganda,Would not vote,3
35,Uganda,National Resistance Movement (NRM),1585
36,Uganda,Uganda Peoples Congress (UPC),41
37,Uganda,Social Democratic Party (SDP),1
38,Uganda,Would not vote,85
39,Uganda,Refused to answer,213
40,Uganda,The Justice Forum (JEEMA),2
41,Uganda,Uganda Federal Alliance (UFA),1
42,Uganda,Other,22
43,Uganda,Inter party Coalition (IPC),3
44,Uganda,Democratic Party (DP),65
45,Uganda,Don't know,169
46,Uganda,Forum for Democratic Change (FDC),213
