geography,corruption_business_executives,total
Central,All of them,14
Central,Don't know/ Haven't heard enough,26
Central,Most of them,18
Central,None,14
Central,Some of them,47
Copperbelt,All of them,29
Copperbelt,Don't know/ Haven't heard enough,5
Copperbelt,Most of them,45
Copperbelt,None,14
Copperbelt,Some of them,98
Eastern,All of them,18
Eastern,Don't know/ Haven't heard enough,20
Eastern,Most of them,24
Eastern,None,16
Eastern,Some of them,58
Luapula,All of them,3
Luapula,Don't know/ Haven't heard enough,4
Luapula,Most of them,16
Luapula,None,17
Luapula,Some of them,47
Lusaka,All of them,29
Lusaka,Don't know/ Haven't heard enough,25
Lusaka,Most of them,53
Lusaka,None,22
Lusaka,Some of them,95
Muchinga,All of them,7
Muchinga,Don't know/ Haven't heard enough,6
Muchinga,Most of them,19
Muchinga,None,15
Muchinga,Some of them,17
North-Western,Don't know/ Haven't heard enough,6
North-Western,Most of them,16
North-Western,None,3
North-Western,Some of them,39
Northern,All of them,16
Northern,Don't know/ Haven't heard enough,18
Northern,Most of them,16
Northern,None,19
Northern,Some of them,27
Southern,All of them,4
Southern,Don't know/ Haven't heard enough,5
Southern,Most of them,40
Southern,None,17
Southern,Some of them,69
Western,All of them,15
Western,Don't know/ Haven't heard enough,7
Western,Most of them,12
Western,None,16
Western,Some of them,30
Zambia,None,153
Zambia,All of them,135
Zambia,Most of them,259
Zambia,Don't know/ Haven't heard enough,122
Zambia,Some of them,527
