geography,corruption_government_officials,total
Central,All of them,12
Central,Don't know/ Haven't heard enough,8
Central,Most of them,29
Central,None,12
Central,Some of them,59
Copperbelt,All of them,35
Copperbelt,Don't know/ Haven't heard enough,5
Copperbelt,Most of them,43
Copperbelt,None,8
Copperbelt,Some of them,101
Eastern,All of them,6
Eastern,Don't know/ Haven't heard enough,6
Eastern,Most of them,24
Eastern,None,19
Eastern,Some of them,81
Luapula,All of them,3
Luapula,Don't know/ Haven't heard enough,2
Luapula,Most of them,16
Luapula,None,12
Luapula,Some of them,54
Lusaka,All of them,22
Lusaka,Don't know/ Haven't heard enough,15
Lusaka,Most of them,58
Lusaka,None,11
Lusaka,Some of them,118
Muchinga,All of them,5
Muchinga,Don't know/ Haven't heard enough,3
Muchinga,Most of them,26
Muchinga,None,5
Muchinga,Some of them,25
North-Western,All of them,1
North-Western,Don't know/ Haven't heard enough,3
North-Western,Most of them,11
North-Western,None,3
North-Western,Some of them,46
Northern,All of them,14
Northern,Don't know/ Haven't heard enough,16
Northern,Most of them,15
Northern,None,24
Northern,Some of them,27
Southern,All of them,11
Southern,Don't know/ Haven't heard enough,3
Southern,Most of them,42
Southern,None,11
Southern,Some of them,69
Western,All of them,5
Western,Don't know/ Haven't heard enough,7
Western,Most of them,17
Western,None,17
Western,Some of them,34
Zambia,None,122
Zambia,All of them,114
Zambia,Most of them,281
Zambia,Don't know/ Haven't heard enough,68
Zambia,Some of them,614
