geography,corruption_judges_and_magistrates,total
Central,All of them,15
Central,Don't know/ Haven't heard enough,17
Central,Most of them,21
Central,None,15
Central,Some of them,51
Copperbelt,All of them,38
Copperbelt,Don't know/ Haven't heard enough,3
Copperbelt,Most of them,45
Copperbelt,None,15
Copperbelt,Some of them,91
Eastern,All of them,13
Eastern,Don't know/ Haven't heard enough,7
Eastern,Most of them,33
Eastern,None,15
Eastern,Some of them,68
Luapula,All of them,5
Luapula,Don't know/ Haven't heard enough,2
Luapula,Most of them,19
Luapula,None,11
Luapula,Some of them,50
Lusaka,All of them,23
Lusaka,Don't know/ Haven't heard enough,24
Lusaka,Most of them,43
Lusaka,None,26
Lusaka,Some of them,108
Muchinga,All of them,5
Muchinga,Don't know/ Haven't heard enough,7
Muchinga,Most of them,17
Muchinga,None,9
Muchinga,Some of them,25
North-Western,All of them,3
North-Western,Don't know/ Haven't heard enough,3
North-Western,Most of them,8
North-Western,None,2
North-Western,Some of them,48
Northern,All of them,19
Northern,Don't know/ Haven't heard enough,12
Northern,Most of them,14
Northern,None,23
Northern,Some of them,28
Southern,All of them,7
Southern,Don't know/ Haven't heard enough,2
Southern,Most of them,20
Southern,None,21
Southern,Some of them,86
Western,All of them,2
Western,Don't know/ Haven't heard enough,12
Western,Most of them,10
Western,None,21
Western,Some of them,35
Zambia,None,158
Zambia,All of them,130
Zambia,Most of them,230
Zambia,Don't know/ Haven't heard enough,89
Zambia,Some of them,590
