geography,corruption_traditional_leaders,total
Central,All of them,8
Central,Don't know/ Haven't heard enough,12
Central,Most of them,19
Central,None,19
Central,Some of them,60
Copperbelt,All of them,32
Copperbelt,Don't know/ Haven't heard enough,7
Copperbelt,Most of them,31
Copperbelt,None,24
Copperbelt,Some of them,98
Eastern,All of them,4
Eastern,Don't know/ Haven't heard enough,4
Eastern,Most of them,21
Eastern,None,39
Eastern,Some of them,68
Luapula,All of them,2
Luapula,Don't know/ Haven't heard enough,1
Luapula,Most of them,8
Luapula,None,25
Luapula,Some of them,51
Lusaka,All of them,21
Lusaka,Don't know/ Haven't heard enough,28
Lusaka,Most of them,33
Lusaka,None,39
Lusaka,Some of them,103
Muchinga,All of them,2
Muchinga,Don't know/ Haven't heard enough,3
Muchinga,Most of them,14
Muchinga,None,20
Muchinga,Some of them,25
North-Western,Don't know/ Haven't heard enough,4
North-Western,Most of them,5
North-Western,None,12
North-Western,Some of them,43
Northern,All of them,13
Northern,Don't know/ Haven't heard enough,10
Northern,Most of them,8
Northern,None,37
Northern,Some of them,28
Southern,All of them,1
Southern,Don't know/ Haven't heard enough,2
Southern,Most of them,15
Southern,None,34
Southern,Some of them,84
Western,All of them,4
Western,Don't know/ Haven't heard enough,9
Western,Most of them,9
Western,None,28
Western,Some of them,30
Zambia,None,277
Zambia,All of them,87
Zambia,Most of them,163
Zambia,Don't know/ Haven't heard enough,80
Zambia,Some of them,590
