geography,difficulty_to_obtain_identity_document,total
Central,Difficult,8
Central,Easy,5
Central,No contact,92
Central,Very Difficult,11
Central,Very Easy,4
Copperbelt,Difficult,16
Copperbelt,Easy,22
Copperbelt,No contact,136
Copperbelt,Very Difficult,8
Copperbelt,Very Easy,10
Eastern,Difficult,11
Eastern,Easy,5
Eastern,No contact,86
Eastern,Very Difficult,4
Eastern,Very Easy,30
Luapula,Difficult,1
Luapula,Don't Know,1
Luapula,Easy,12
Luapula,No contact,70
Luapula,Very Easy,3
Lusaka,Difficult,17
Lusaka,Easy,22
Lusaka,No contact,157
Lusaka,Very Difficult,19
Lusaka,Very Easy,9
Muchinga,Difficult,2
Muchinga,Easy,2
Muchinga,No contact,55
Muchinga,Very Difficult,4
Muchinga,Very Easy,1
North-Western,Difficult,3
North-Western,Easy,6
North-Western,No contact,53
North-Western,Very Difficult,1
North-Western,Very Easy,1
Northern,Difficult,1
Northern,Easy,1
Northern,No contact,91
Northern,Very Difficult,1
Northern,Very Easy,2
Southern,Difficult,7
Southern,Easy,10
Southern,No contact,112
Southern,Very Difficult,6
Southern,Very Easy,1
Western,Difficult,5
Western,Easy,11
Western,No contact,50
Western,Very Difficult,10
Western,Very Easy,4
Zambia,Very Easy,65
Zambia,No contact,902
Zambia,Easy,96
Zambia,Very Difficult,64
Zambia,Don't Know,1
Zambia,Difficult,71
