geography,level_of_corruption,total
Central,Decreased a lot,8
Central,Decreased somewhat,28
Central,Don't know,3
Central,Increased a lot,41
Central,Increased somewhat,16
Central,Stayed the same,24
Copperbelt,Decreased a lot,19
Copperbelt,Decreased somewhat,31
Copperbelt,Don't know,3
Copperbelt,Increased a lot,83
Copperbelt,Increased somewhat,24
Copperbelt,Stayed the same,32
Eastern,Decreased a lot,4
Eastern,Decreased somewhat,16
Eastern,Don't know,18
Eastern,Increased a lot,69
Eastern,Increased somewhat,8
Eastern,Stayed the same,21
Luapula,Decreased a lot,3
Luapula,Decreased somewhat,38
Luapula,Don't know,4
Luapula,Increased a lot,11
Luapula,Increased somewhat,19
Luapula,Stayed the same,12
Lusaka,Decreased a lot,11
Lusaka,Decreased somewhat,48
Lusaka,Don't know,9
Lusaka,Increased a lot,86
Lusaka,Increased somewhat,30
Lusaka,Stayed the same,40
Muchinga,Decreased a lot,2
Muchinga,Decreased somewhat,12
Muchinga,Don't know,4
Muchinga,Increased a lot,28
Muchinga,Increased somewhat,5
Muchinga,Stayed the same,13
North-Western,Decreased a lot,1
North-Western,Decreased somewhat,11
North-Western,Increased a lot,30
North-Western,Increased somewhat,9
North-Western,Stayed the same,13
Northern,Decreased a lot,17
Northern,Decreased somewhat,19
Northern,Don't know,9
Northern,Increased a lot,29
Northern,Increased somewhat,6
Northern,Stayed the same,16
Southern,Decreased a lot,3
Southern,Decreased somewhat,15
Southern,Don't know,3
Southern,Increased a lot,89
Southern,Increased somewhat,12
Southern,Stayed the same,13
Western,Decreased somewhat,11
Western,Don't know,3
Western,Increased a lot,41
Western,Increased somewhat,12
Western,Stayed the same,13
Zambia,Increased somewhat,141
Zambia,Decreased a lot,68
Zambia,Increased a lot,507
Zambia,Stayed the same,197
Zambia,Decreased somewhat,229
Zambia,Don't know,56
