geography,own_mobile_phone,total
Central,"No, don't own",31
Central,"Yes, do own",88
Copperbelt,"No, don't own",32
Copperbelt,"Yes, do own",160
Eastern,Don't know,1
Eastern,"No, don't own",59
Eastern,"Yes, do own",76
Luapula,"No, don't own",33
Luapula,"Yes, do own",53
Lusaka,Don't know,2
Lusaka,"No, don't own",32
Lusaka,"Yes, do own",189
Muchinga,"No, don't own",15
Muchinga,"Yes, do own",49
North-Western,"No, don't own",27
North-Western,"Yes, do own",37
Northern,"No, don't own",47
Northern,"Yes, do own",49
Southern,"No, don't own",32
Southern,"Yes, do own",104
Western,"No, don't own",13
Western,"Yes, do own",67
Zambia,"Yes, do own",872
Zambia,"No, don't own",321
Zambia,Don't know,3
