geography,own_radio,total
Central,"No, don't own",20
Central,"Yes, do own",100
Copperbelt,"No, don't own",49
Copperbelt,"Yes, do own",143
Eastern,"No, don't own",47
Eastern,"Yes, do own",89
Luapula,"No, don't own",38
Luapula,"Yes, do own",48
Lusaka,Don't know,3
Lusaka,"No, don't own",52
Lusaka,"Yes, do own",168
Muchinga,"No, don't own",10
Muchinga,"Yes, do own",54
North-Western,"No, don't own",20
North-Western,"Yes, do own",44
Northern,"No, don't own",42
Northern,"Yes, do own",54
Southern,"No, don't own",36
Southern,"Yes, do own",99
Western,"No, don't own",18
Western,"Yes, do own",62
Zambia,"Yes, do own",861
Zambia,"No, don't own",332
Zambia,Don't know,3
