geography,people_can_fight_corruption,total
Central,Agree,32
Central,Disagree,12
Central,Don't Know,5
Central,Neither Agree Nor Disagree,9
Central,Strongly Agree,47
Central,Strongly Disagree,15
Copperbelt,Agree,46
Copperbelt,Disagree,32
Copperbelt,Don't Know,3
Copperbelt,Neither Agree Nor Disagree,9
Copperbelt,Strongly Agree,36
Copperbelt,Strongly Disagree,66
Eastern,Agree,23
Eastern,Disagree,17
Eastern,Don't Know,19
Eastern,Neither Agree Nor Disagree,5
Eastern,Strongly Agree,24
Eastern,Strongly Disagree,48
Luapula,Agree,38
Luapula,Disagree,12
Luapula,Don't Know,1
Luapula,Neither Agree Nor Disagree,7
Luapula,Strongly Agree,24
Luapula,Strongly Disagree,5
Lusaka,Agree,71
Lusaka,Disagree,27
Lusaka,Don't Know,7
Lusaka,Neither Agree Nor Disagree,14
Lusaka,Strongly Agree,59
Lusaka,Strongly Disagree,46
Muchinga,Agree,21
Muchinga,Disagree,8
Muchinga,Don't Know,5
Muchinga,Neither Agree Nor Disagree,3
Muchinga,Strongly Agree,19
Muchinga,Strongly Disagree,8
North-Western,Agree,33
North-Western,Disagree,11
North-Western,Don't Know,3
North-Western,Strongly Agree,9
North-Western,Strongly Disagree,8
Northern,Agree,22
Northern,Disagree,14
Northern,Don't Know,7
Northern,Neither Agree Nor Disagree,4
Northern,Strongly Agree,31
Northern,Strongly Disagree,18
Southern,Agree,37
Southern,Disagree,39
Southern,Don't Know,1
Southern,Neither Agree Nor Disagree,4
Southern,Strongly Agree,18
Southern,Strongly Disagree,37
Western,Agree,8
Western,Disagree,5
Western,Don't Know,2
Western,Neither Agree Nor Disagree,6
Western,Strongly Agree,19
Western,Strongly Disagree,40
Zambia,Neither Agree Nor Disagree,61
Zambia,Disagree,177
Zambia,Strongly Agree,286
Zambia,Agree,331
Zambia,Strongly Disagree,291
Zambia,Don't Know,53
